id,title,author,year_of_publication,publisher,,,
2526,West of Dodge,LOUIS L'AMOUR,1997,Bantam,,,
2527,Starfire (Bantam Spectra),Charles Sheffield,2000,Spectra Books,,,
2528,The Next Accident,LISA GARDNER,2002,Bantam,,,
2529,The Hostage Bride,Jane Feather,1998,Bantam Books,,,
2530,Ashes to Ashes,TAMI HOAG,2000,Bantam,,,
2531,Hen's Teeth,Manda Scott,1999,Bantam Books,,,
2532,Night Mares,Manda Scott,1999,Crimeline,,,
2533,Fear Nothing,DEAN KOONTZ,1998,Bantam,,,
2534,The Matarese Countdown,Robert Ludlum,1998,Bantam Books,,,
2535,"A Clash of Kings (A Song of Fire and Ice, Book 2)",George R. R. Martin,2000,Spectra Books,,,
2536,The Years of Rice and Salt,Kim Stanley Robinson,2003,Spectra Books,,,
2537,"House Atreides (Dune: House Trilogy, Book 1)",Brian Herbert,2000,Spectra Books,,,
2538,"House Harkonnen (Dune: House Trilogy, Book 2)",Brian Herbert,2001,Spectra Books,,,
2539,The Patient,Michael Palmer,2001,Bantam Books,,,
2540,Sympathy for the Devil,Kent Anderson,2000,Bantam Books,,,
2541,The Silver Metal Lover,Tanith Lee,1999,Spectra Books,,,
2542,Last Puzzle &amp Testament (Puzzle Lady Mysteries (Paperback)),Parnell Hall,2001,Bantam Books,,,
2543,Final Target,Iris Johansen,2002,Bantam Books,,,
2544,Body of Lies,IRIS JOHANSEN,2003,Bantam,,,
2545,Summer Light,Luanne Rice,2002,Bantam Books,,,
2546,"Guinness World Records 2000 (Guinness Book of Records, 2000)",Nic Kynaston,2000,Bantam Books,,,
2547,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,,,
2548,One Door Away from Heaven,Dean R. Koontz,2002,Bantam Books,,,
2549,By the Light of the Moon,DEAN KOONTZ,2003,Bantam,,,
2550,Icebound,Dean R. Koontz,2000,Bantam Books,,,
2551,Tick Tock,Dean R. Koontz,2000,Bantam Books,,,
2552,Winter Moon,Dean R. Koontz,2001,Bantam Books,,,
2553,To Kiss a Spy (Get Connected Romances),JANE FEATHER,2003,Bantam,,,
2554,Kissed by Shadows (Get Connected Romances),Jane Feather,2003,Bantam Books,,,
2555,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,Bantam Books,,,
2556,Stealing Heaven,Madeline Hunter,2002,Bantam Books,,,
2557,The Husband Test,Betina M. Krahn,2001,Bantam Books,,,
2558,Dream Island (Medieval Trilogy),Josie Litton,2002,Bantam Books,,,
2559,Kingdom Of Moonlight,Josie Litton,2002,Bantam Books,,,
2560,Dead Aim,IRIS JOHANSEN,2004,Bantam Books,,,
2561,The Survivors Club,LISA GARDNER,2003,Bantam,,,
2562,Once a Thief,Kay Hooper,2002,Bantam Books,,,
2563,Always a Thief,Kay Hooper,2003,Bantam Books,,,
2564,Reap the Wind,Iris Johansen,2002,Bantam Books,,,
2565,The New Rabbi : A Congregation Searches for Its Leader,STEPHEN FRIED,2002,Bantam,,,
2566,A Place of Hiding,ELIZABETH GEORGE,2003,Bantam,,,
2567,The Tail of the Tip-Off,RITA MAE BROWN,2003,Bantam,,,
2568,The Secret Hour,LUANNE RICE,2003,Bantam,,,
2569,The Face,DEAN KOONTZ,2003,Bantam,,,
2570,The Happiest Baby on the Block : The New Way to Calm Crying and Help Your Baby Sleep Longer,Harvey Karp,2002,Bantam,,,
2571,The Mind Map Book: Millennium Edition,Tony Buzan,2000,BBC Consumer Publishing,,,
2572,Dark Labyrinth,Lawrence Durrell,0,Faber Faber Inc,,,
2573,Whitsun Weddings,Philip Larkin,1964,Faber &amp Faber,,,
2574,Unbearable Lightness of Being,Milan Kundera,0,Faber Faber Inc,,,
2575,Buddha of Suburbia,Hanif Kureishi,0,Faber Faber Inc,,,
2576,Birds of the Innocent Wood,Deirdre Madden,1989,Farrar Straus &amp Giroux,,,
2577,Remains of the Day,Kazuo Ishiguro,0,Faber Faber Inc,,,
2578,Arcadia,Tom Stoppard,1994,Faber &amp Faber,,,
2579,Touching from a Distance: Ian Curtis and Joy Division,Deborah Curtis,1996,Faber &amp Faber,,,
2580,Birds of America,Lorrie Moore,0,Faber Faber Inc,,,
2581,Poisonwood Bible Edition Uk,Barbara Kingsolver,0,Faber Faber Inc,,,
2582,Life Is Elsewhere,Milan Kundera,2000,Faber &amp Faber,,,
2583,Golden Gate,Vikram Seth,0,Faber Faber Inc,,,
2584,Buddha of Suburbia,Hanif Kureishi,2000,Faber Paperbacks,,,
2585,Terrible Times (Eddie Dickens Trilogy S.),Philip Ardagh,2002,Faber Children's Books,,,
2586,Nightchild (Gollancz SF S.),James Barclay,2002,Gollancz,,,
2587,Shadowheart : Legends of the Raven (Legends of the Raven),James Barclay,2003,Gollancz,,,
2588,"The Soddit : or, Cashing in Again (Gollancz SF S.)",A.R.R.R. Roberts,2003,Gollancz,,,
2589,"Witch, and other stories (The Heritage of literature series)",George Mackay Brown,1977,Longman,,,
2590,Screen kisses,Trudi Pacter,1990,Grafton Books,,,
2591,Indigo 1: Nemesis (Indigo Series),Louise Cooper,1991,HarperCollins Publishers,,,
2592,Little House On the Prairie,Laura Ingall Wilder,0,Scholastic Inc,,,
2593,"The Andalite Chronicles (Elfangor's Journey, Alloran's Choice, An Alien Dies) - Animorphs",Katherine Applegate,1997,Apple,,,
2594,The Mighty,Rodman Philbrick,1998,Scholastic,,,
2595,"The Subtle Knife (His Dark Materials, Book 2)",Philip Pullman,1998,Scholastic Point,,,
2596,Clockwork : Or All Wound Up,Philip Pullman,1998,Scholastic,,,
2597,The Andalite's Gift (Animorphs : Megamorphs 1),K. A. Applegate,1997,Scholastic,,,
2598,Kristy's Great Idea (The Baby-Sitter's Club #1),Ann M. Martin,1995,Scholastic,,,
2599,The Real Mother Goose,Blanche Fisher Wright,1994,Scholastic,,,
2600,"Claudia and the Phantom Phone Calls (Baby-Sitters Club, 2)",Ann M. Martin,1995,Scholastic,,,
2601,"The Truth About Stacey (Baby-Sitters Club, 3)",Ann M. Martin,1995,Scholastic,,,
2602,"Mary Anne Saves the Day (Baby-Sitters Club, 4)",Ann M. Martin,1995,Scholastic,,,
2603,Spring Fever!,Peter Lerangis,1996,Scholastic,,,
2604,Just Plain Cat,Nancy K Robinson,1981,Scholastic Inc,,,
2605,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,1998,Scholastic,,,
2606,Out of the Dust (Apple Signature Edition),Karen Hesse,1999,Scholastic,,,
2607,It's Fine to Be Nine,Patricia Maclachlan,2000,Little Apple,,,
2608,Last Battle,C. S. Lewis,1988,Scholastic Paperbacks (Mm),,,
2609,Just a Little Bit Lost,Laurel Trivelpiece,1988,Scholastic Paperbacks,,,
2610,"Junior High Jitters (Junior High, No 1)",M.L. Kenyon,1987,Scholastic Paperbacks (Mm),,,
2611,You Be the Jury #02,Marvin Miller,1989,Scholastic,,,
2612,Prom Dress,Lael Littke,1989,Scholastic Paperbacks,,,
2613,The Teacher from the Black Lagoon,Mike Thaler,1989,Scholastic,,,
2614,Sideways Arithmetic from Wayside School,Louis Sachar,1989,Scholastic Paperbacks,,,
2615,"Yours Truly, Shirley",Ann M. Martin,1990,Scholastic Paperbacks (Mm),,,
2616,Way Things Work,David Macaulay,1988,Scholastic Inc,,,
2617,The Journey Home,Isabelle Holland,1993,Scholastic Paperbacks (Mm),,,
2618,The Girl in the Window,Wilma Yeo,1995,Scholastic Paperbacks (Mm),,,
2619,Fog (Losing Christina),Caroline B. Cooney,1995,Scholastic,,,
2620,Help! I'm a Prisoner in the Library,Eth Clifford,1991,Scholastic,,,
2621,In My Father's House (Point),Ann Rinaldi,1996,Scholastic,,,
2622,"Karen's Cartwheel (Baby-Sitters Little Sister, 29)",Ann M. Martin,1992,Scholastic,,,
2623,"Karen's Pen Pal (Baby-Sitters Little Sister, 25)",Ann M. Martin,1992,Scholastic,,,
2624,"Karen's Doll (Baby-Sitters Little Sister, 23)",Ann M. Martin,1991,Scholastic,,,
2625,"Karen's School Trip (Baby-Sitters Little Sister, 24)",Ann M. Martin,1992,Scholastic Paperbacks (Mm),,,
2626,Body Battles,Rita Golden Gelman,1992,Scholastic,,,
2627,I Spy: A Book of Picture Riddles,Jean Marzollo,1992,Scholastic,,,
2628,Behind the Lines (Point),Isabelle Holland,1997,Scholastic,,,
2629,Maniac Magee,Jerry Spinelli,2002,Scholastic Inc,,,
2630,"Stay Out of the Basement (Goosebumps, No 2)",R. L. Stine,1995,Scholastic,,,
2631,One Hungry Monster,Susan H Okeefe,0,Scholastic Inc,,,
2632,Dealing With Dragons (Enchanted Forest Chronicles (Paperback)),Patricia C. Wrede,1992,Scholastic,,,
2633,The Hitchhiker (Point),R. L. Stine,1993,Scholastic,,,
2634,A Solitary Blue (Point),Cynthia Voigt,1993,Scholastic,,,
2635,Building Blocks (Point),Cynthia Voigt,1994,Scholastic,,,
2636,I Spy Spooky Night: A Book of Picture Riddles (I Spy Books),Walter Wick,1996,Scholastic,,,
2637,"Mary Anne Breaks the Rules (Baby-Sitters Club, 79)",Ann M. Martin,1994,Scholastic Paperbacks,,,
2638,"Stacey and the Bad Girls (Baby-Sitters Club, 87)",Ann M. Martin,1995,Scholastic,,,
2639,Calling on Dragons (Read with Me Paperbacks),Patricia C. Wrede,1994,Point Fantasy,,,
2640,Talking to Dragons (Enchanted Forest Chronicles (Paperback)),Patricia C. Wrede,1995,Point Fantasy,,,
2641,Black Beauty (Apple Classics),Anna Sewell,1994,Scholastic Paperbacks,,,
2642,Meet the Stars of Buffy the Vampire Slayer,Stefanie Scott,1998,Scholastic,,,
2643,"The Amber Spyglass (His Dark Materials, Book 3)",Philip Pullman,2000,Scholastic Press,,,
2644,"Demona's Revenge (Gargoyles, No. 2)",Francine Hughes,1995,Scholastic,,,
2645,Clifford's Sports Day,Norman Bridwell,1996,Scholastic,,,
2646,"The Invasion (Animorphs, No 1)",K. A. Applegate,1996,Scholastic,,,
2647,"The Visitor (Animorphs, No 2)",K. A. Applegate,1996,Scholastic,,,
2648,"The Encounter (Animorphs , No 3)",K. A. Applegate,1996,Scholastic,,,
2649,"The Message (Animorphs , No 4)",K. A. Applegate,1996,Scholastic,,,
2650,The Capture (Animorphs (Paperback Numbered)),Katherine Applegate,1997,Scholastic,,,
2651,Captain Underpants and the Attack of the Talking Toilets: Another Epic Novel (Captain Underpants (Paper)),Dav Pilkey,1999,Scholastic,,,
2652,Northern Lights (His Dark Materials S.),Philip Pullman,1998,Scholastic Point,,,
2653,Ralph S. Mouse,Beverly Cleary,2000,Scholastic,,,
2654,"The Experiment (Animorphs, No 28)",K. A. Applegate,1999,Apple,,,
2655,My Garden (Beginning Literacy),Jesse S. Ostrow,1994,Scholastic,,,
2656,The Music of Dolphins (Apple Signature Edition),Karen Hesse,1998,Hyperion Books for Children,,,
2657,Forever Amber Brown (Amber Brown (Paperback)),Paula Danziger,1997,Jump at the Sun,,,
2658,Golf Hall of Shame-12 Copy Prepak,Bruce Nash,1989,Pocket Books,,,
2659,Pet-Rified!,Dean Marney,1997,Scholastic,,,
2660,The Stranger (Animorphs (Paperback Numbered)),Katherine Applegate,1997,Scholastic,,,
2661,"The Secret (Animorphs, No 9)",Katherine Applegate,1997,Scholastic,,,
2662,The Visitor (A Jack Reacher Novel),Lee Child,2000,Transworld Publishers Ltd,,,
2663,The Mystery of the Poison Arrow Tree,Shel Arensen,2001,Authors Choice Press,,,
2664,Cigar Box,Wilbur Witt,2001,Writers Club Press,,,
2665,The Courtship Dance of the Borderline,"Anthony, Md. Walker",2001,Writer's Showcase Press,,,
2666,Scooter and the Galactic Starship,Douglas R. Robinson,2002,Writer's Showcase Press,,,
2667,Public Spirituality : A Personal Workbook,Lisa Langford Heron,2004,"iUniverse, Inc.",,,
2668,Exim: The Mail Transfer Agent,Philip Hazel,2001,O'Reilly,,,
2669,The Root of All Evil,Illiad,2001,O'Reilly,,,
2670,Blur (Melody Maker),Paul Lester,1995,Hal Leonard Corp,,,
2671,Road Rage,Ruth Rendell,1997,Random House Inc,,,
2672,The Art of Doing Nothing: Simple Ways to Make Time for Yourself,Veronique Vienne,1998,Clarkson N Potter Publishers,,,
2673,The Overseer,Jonathan Rabb,1998,Random House Inc,,,
2674,You're Fifty--Now What?: Investing for the Second Half of Your Life,Charles R. Schwab,2000,Crown Business,,,
2675,Angel Falls,KRISTIN HANNAH,2000,Crown,,,
2676,Julie and Romeo,Jeanne Ray,2000,Harmony,,,
2677,"The Devil in the White City : Murder, Magic, and Madness at the Fair That Changed America (Illinois)",ERIK LARSON,2003,Crown,,,
2678,The Book of Eleanor,PAMELA KAUFMAN,2002,Crown,,,
2679,"The Shelters of Stone (Earth's Children Series, No 5)",JEAN M. AUEL,2002,Crown,,,
2680,Great Moments in Sex,Cheryl Rilly,1999,Three Rivers Press (CA),,,
2681,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press,,,
2682,"My 1,000 Americans: A Year-Long Journey through the Personals",Rochelle Morton,2001,Three Rivers Press (CA),,,
2683,"Guenevere, Queen of the Summer Country (Guenevere Novels (Paperback))",ROSALIND MILES,2000,Three Rivers Press,,,
2684,All the Joy You Can Stand: 101 Sacred Power Principles for Making Joy Real in Your Life,Debrena Jackson Gandy,2001,Three Rivers Press (CA),,,
2685,Second Helpings : A Novel,MEGAN MCCAFFERTY,2003,Three Rivers Press,,,
2686,Dispatches from the Tenth Circle: The Best of the Onion,ROBERT SIEGEL,2001,Three Rivers Press,,,
2687,Summer Reading Is Killing Me (Time Warp Trio (Library)),Jon Scieszka,2001,Sagebrush Bound,,,
2688,Fantastic Beasts and Where to Find Them,J. K. Rowling,2001,Sagebrush Bound,,,
2689,Quidditch Through the Ages,J. K. Rowling,2001,Sagebrush Education Resources,,,
2690,The Hobbit: or There and Back Again,J.R.R. Tolkien,1999,Houghton Mifflin Company,,,
2691,Riding the Bus with My Sister: A True Life Journey,Rachel Simon,2002,Houghton Mifflin Company,,,
2692,The Ledge,Michael Collier,2000,Houghton Mifflin Company,,,
2693,The Hallelujah Side,Rhoda Huffey,2000,Mariner Books,,,
2694,The Saints of Big Harbour: A Novel,Lynn Coady,2002,Houghton Mifflin Company,,,
2695,The Silmarillion,J.R.R. Tolkien,2001,Houghton Mifflin,,,
2696,Sparks of Genius: The Thirteen Thinking Tools of the World's Most Creative People,Robert S. Root-Bernstein,2001,Mariner Books,,,
2697,The Best American Science and Nature Writing 2002 (The Best American (TM)),Natalie Angier,2002,Mariner Books,,,
2698,Everything Is Illuminated: A Novel,Jonathan Safran Foer,2002,Houghton Mifflin Company,,,
2699,Almost: A Novel,Elizabeth Benedict,2002,Mariner Books,,,
2700,The Eyre Affair (Alex Awards (Awards)),Jasper Fforde,2002,Viking Books,,,
2701,In This Mountain,Jan Karon,2002,Viking Books,,,
2702,The Adventures of Augie March,Saul Bellow,2003,Viking Books,,,
2703,The Green Man : Tales from the Mythic Forest,Ellen Datlow,2002,Viking Juvenile,,,
2704,Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Neil Postman,1985,Penguin USA,,,
2705,It,Stephen King,1986,Viking Books,,,
2706,Urn Burial,Robert Westall,1987,Viking Children's Books,,,
2707,Spy Catcher: The Candid Autobiography of a Senior Intelligence Officer,Peter Wright,1987,Penguin USA,,,
2708,The Enthusiasms of Roberston Davies,Robertson Davies,1990,Penguin USA,,,
2709,Rumpole on Trial,John Mortimer,1992,Penguin USA,,,
2710,Secret History,Donna Tartt,0,Penguin Putnam~childrens Hc,,,
2711,Insomnia,Stephen King,1994,Viking Books,,,
2712,Tarot Says Beware (A Herculeah Jones Mystery),Betsy Byars,1995,Viking Books,,,
2713,The Tortilla Curtain,T. Coraghessan Boyle,1995,Viking Books,,,
2714,The Flaming Corsage,William J. Kennedy,1996,Viking Books,,,
2715,All in the family: A cultural history of family life,Suanne Kelman,1998,Viking,,,
2716,"The 3,000 Mile Garden: An Exchange of Letters on Gardening, Food, and the Good Life",Leslie Land,1996,Viking Books,,,
2717,The Listmaker,Robin Klein,1997,Viking Books,,,
2718,London Holiday,Richard Peck,1998,Penguin USA,,,
2719,A New Song (The Mitford Years),Jan Karon,1999,Viking Books,,,
2720,An incidental memoir,Robin Dalton,1998,Penguin Putnam,,,
2721,Sherlock Holmes and the Rune Stone Mystery: From the American Chronicles of John H. Watson M.D. (Sherlock Holmes),Larry Millett,1999,Viking Books,,,
2722,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,2000,Penguin Putnam,,,
2723,Bridget Jones : The Edge of Reason,Helen Fielding,2000,Viking Books,,,
2724,The Passion of Artemisia,Susan Vreeland,2002,Viking Books,,,
2725,Shock Wave (Dirk Pitt Adventures (Paperback)),Clive Cussler,1996,Pocket,,,
2726,COURTNEY LOVE: THE QUEEN OF NOISE,Melissa Rossi,1996,Pocket,,,
2727,Legend,Jude Deveraux,1997,Pocket,,,
2728,BODY SWITCHERS FROM OUTER SPACE: R L STINE'S GHOSTS OF FEAR STREET #14 (GHOSTS OF FEAR STREET),R.L. Stine,1996,Aladdin,,,
2729,Ancient Blood:  Day of Honor #1 (Star Trek The Next Generation),Diane Carey,1997,Star Trek,,,
2730,"Her Klingon Soul (Star Trek Voyager: Day of Honor, Book 3)",Michael Jan Friedman,1997,Star Trek,,,
2731,The First Wives Club Movie Tie In,Olivia Goldsmith,1996,Pocket,,,
2732,The BRIDE - PROMOTIONAL,Julie Garwood,1996,Pocket,,,
2733,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press,,,
2734,Contact,Carl Sagan,1997,Pocket,,,
2735,"Treaty's Law (Star Trek: Day of Honor, Book 4)",Kristine Kathryn Rusch,1997,Star Trek,,,
2736,You Belong To Me,Mary Higgins Clark,1999,Pocket Books,,,
2737,We'll Meet Again,Mary Higgins Clark,2000,Pocket,,,
2738,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket,,,
2739,"Armageddon Sky (Star Trek Deep Space Nine: Day of Honor, Book 2)",L. A. Graf,1997,Star Trek,,,
2740,J.D. Salinger's Franny and Zooey,J. D. Salinger,1972,Monarch Notes,,,
2741,Spectre (Star Trek),William Shatner,1998,Star Trek,,,
2742,"GONE FISHIN : Featuring an Original Easy Rawlins Short Story \""Smoke\"" (Easy Rawlins Mysteries (Paperback))",Walter Mosley,1998,Pocket,,,
2743,"SANTAS LITTLE HELPER SABRINA THE TEENAGE WITCH 5 (Sabrina, the Teenage Witch (Numbered Paperback))",Cathy West,1997,Simon Spotlight Entertainment,,,
2744,The Millionaire Next Door,Thomas J. Stanley,1998,Pocket,,,
2745,Bloodstream,Tess Gerritsen,1999,Pocket,,,
2746,SKATING FOR THE GOLD,Chip Lovitt,1997,Simon Spotlight Entertainment,,,
2747,"All You Need Is a Love Spell (Sabrina the Teenage Witch, 7)",Randi Reisfeld,1998,Simon Spotlight Entertainment,,,
2748,The War in Heaven (Eternal Warriors),Theodore Beale,2000,Pocket,,,
2749,FLOWERS IN THE ATTIC (Dollanger Saga (Paperback)),V.C. Andrews,1997,Pocket,,,
2750,A DOGS LIFE SABRINA THE TEENAGE WITCH 9,Cathy West,1998,Simon Spotlight Entertainment,,,
2751,LOTSA LUCK SABRINA THE TEENAGE WITCH 10,Diana G. Gallagher,1998,Simon Spotlight Entertainment,,,
2752,Raven (Orphans),V.C. Andrews,1998,Pocket,,,
2753,She's Come Undone (Oprah's Book Club),Wally Lamb,1998,Pocket,,,
2754,Preserver (Star Trek),William Shatner,2000,Star Trek,,,
2755,EYE ON CRIME: HARDY BOYS #153,Franklin W. Dixon,1998,Aladdin,,,
2756,Term Limits,Vince Flynn,1999,Pocket Star,,,
2757,Man's Search For Meaning,Viktor E. Frankl,1997,Pocket,,,
2758,Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,1998,Pocket,,,
2759,"TEACHER'S PET: SALEM'S TAILS #2: SABRINA, THE TEENAGE WITCH",Patricia Barnes-Svarney,1998,Simon Spotlight Entertainment,,,
2760,Mosaic,Gayle Lynds,1998,Atria,,,
2761,Hearts In Atlantis,Stephen King,2000,Pocket,,,
2762,"SABRINA, THE TEENAGE WITCH MAGIC HANDBOOK (Sabrina, the Teenage Witch)",Patricia Barnes-Svarney,1998,Simon Spotlight Entertainment,,,
2763,The UMBRELLA CONSPIRACY: RESIDENT EVIL #1,S.D. Perry,1998,Pocket,,,
2764,City of the Dead (Resident Evil #3),S.D. Perry,1999,Pocket,,,
2765,Underworld  (Resident Evil #4),S.D. Perry,1999,Pocket,,,
2766,Duane's Depressed,Larry McMurtry,1999,Pocket,,,
2767,The Evil That Men Do (Buffy the Vampire Slayer),Nancy Holder,2000,Simon Spotlight Entertainment,,,
2768,Resurrecting Ravana  (Buffy the Vampire Slayer),Ray Garton,2000,Simon Spotlight Entertainment,,,
2769,The Hunted,Alan Jacobson,2001,Atria,,,
2770,Lily Of The Valley,Suzanne Strempek Shea,1999,Atria,,,
2771,All Through the Night (Holiday Classics),Mary Higgins Clark,1999,Pocket,,,
2772,The Perks of Being a Wallflower,Stephen Chbosky,1999,MTV,,,
2773,Angels &amp Demons,Dan Brown,2001,Pocket Star,,,
2774,Deception Point,Dan Brown,2002,Pocket,,,
2775,The Fuck Up,Arthur Nersesian,1999,MTV,,,
2776,"Scarabian Nights:Sabrina, The Teenage Witch #24",Nancy Holder,1999,Simon Spotlight Entertainment,,,
2777,Deadly Decisions,Kathy Reichs,2001,Pocket Books,,,
2778,Fatal Voyage,Kathy Reichs,2002,Pocket,,,
2779,The Green Mile,Stephen King,1999,Pocket,,,
2780,Heartbreaker,Julie Garwood,2001,Pocket,,,
2781,Mercy,Julie Garwood,2002,Pocket,,,
2782,Mr. Perfect,Linda Howard,2000,Atria,,,
2783,The Vineyard,Barbara Delinsky,2001,Pocket Books,,,
2784,Jewel,Bret Lott,1999,Washington Square Press,,,
2785,Sins of the Father (Buffy the Vampire Slayer),Christopher Golden,1999,Simon Spotlight Entertainment,,,
2786,Immortal: Buffy the Vampire Slayer (Buffy The Vampire Slayer),Christopher Golden,1999,Simon Spotlight Entertainment,,,
2787,The Blue Nowhere : A Novel,Jeffery Deaver,2002,Pocket,,,
2788,The Last Chance Cafe : A Novel,Linda Lael Miller,2002,Atria,,,
2789,Blackbird: A Childhood Lost and Found,Jennifer Lauck,2000,Atria,,,
2790,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket,,,
2791,Skin And Bones,Franklin W. Dixon,2000,Aladdin,,,
2792,"ROAD LESS TRAVELED : A New Psychology of Love, Traditional Values, and Spritual Growth (Touchstone Books (Paperback))",M. Scott Peck,1980,Touchstone,,,
2793,My Teacher is an Alien,Bruce Coville,1997,Pocket Books,,,
2794,Callahan's Lady,Spider Robinson,2001,Baen,,,
2795,The Legend That Was Earth,James P. Hogan,2001,Baen,,,
2796,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982,Pocket,,,
2797,King Lear,William Shakespeare,1999,Pocket Books,,,
2798,The Vulcan Academy Murders,Jean Lorrah,1984,Star Trek,,,
2799,SALVADOR,Joan Didion,1983,Pocket,,,
2800,"LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The)",Franklin W. Dixon,1995,Simon Pulse,,,
2801,Les Miserables (Enriched Classics),Victor Hugo,1983,Pocket,,,
2802,SHIPPING NEWS,Annie Proulx,1994,Scribner,,,
2803,The Good Earth (Enriched Classics),Pearl S. Buck,1994,Pocket,,,
2804,DEVIL IN A BLUE DRESS (Easy Rawlins Mysteries (Paperback)),Walter Mosley,1995,Pocket,,,
2805,Trust Me,Jayne Ann Krentz,1995,Pocket,,,
2806,Thirty Five Thousand Plus Baby Names: The Largest Selection of Popular and Unusual Names from Around the World,Bruce Lansky,1995,Meadowbrook,,,
2807,Bless The Beasts And Children : Bless The Beasts And Children,Glendon Swarthout,1995,Pocket,,,
2808,"Lucky, Lucky Day (Full House Michelle)",R.L. Stine,1995,Simon Spotlight,,,
2809,Braveheart,Randall Wallace,1995,Pocket,,,
2810,LUCKY,Judy Collins,1986,Pocket,,,
2811,The Kingdom by the Sea: A Journey Around Great Britain,Paul Theroux,1984,Pocket Books,,,
2812,Someone to Watch Over Me : A Novel,Judith McNaught,2003,Pocket,,,
2813,The Return (Star Trek),William Shatner,1996,Pocket Books,,,
2814,Hitchhikers's Guide to the Galaxy,Douglas Adams,1984,Pocket,,,
2815,HIGH TIDE FEAR STREET SUPERCHILLER 12,R.L. Stine,1997,Simon Pulse,,,
2816,Midsummer Nights Dream,William Shakespeare,1984,Pocket Books,,,
2817,Waiting to Exhale,Terry McMillan,1995,Pocket,,,
2818,POSSESSIONS,Judith Michael,1985,Pocket,,,
2819,DEAD MANS FOLLY (Hercule Poirot Mysteries (Paperback)),Agatha Christie,1984,Pocket,,,
2820,A Caribbean Mystery,Agatha Christie,1984,Pocket,,,
2821,The Bookman's Wake (Cliff Janeway Novels (Paperback)),John Dunning,1996,Pocket Star,,,
2822,Let Me Call You Sweetheart,Mary Higgins Clark,1996,Pocket,,,
2823,The STAR TREK THE RETURN,William Shatner,1996,Audioworks,,,
2824,Strange Memories The Nancy Drew Files 122 (Nancy Drew Files (Paperback)),Carolyn Keene,1997,Simon Pulse,,,
2825,Divining Women (Ay Spoken Word - Gibbons),Kaye Gibbons,2004,Audioworks,,,
2826,"On Basilisk Station (Honor Harrington Series, Book 1)",David Weber,1998,Baen,,,
2827,Dragonne's Eg,Mary Brown,1999,Baen,,,
2828,Transvergence,Charles Sheffield,1999,Baen Books,,,
2829,The Dracula Tape,Fred Saberhagen,1999,Baen,,,
2830,How To Run A Traditional Jewish Household,Blu Greenberg,1985,Fireside,,,
2831,COPS,Mark Baker,1986,Pocket,,,
2832,The Color Purple,Alice Walker,1985,Pocket Books,,,
2833,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,Robert G. Allen,1986,Fireside,,,
2834,LONESOME DOVE,Larry McMurtry,1986,Pocket,,,
2835,GOOD EARTH,Gordon Buck,1987,Pocket,,,
2836,A Matter of Honor,Jeffrey Archer,1986,Simon &amp Schuster,,,
2837,Curse of the Giant Muffins and Other Washington Maladies,Michael Kinsley,1987,Summit Books,,,
2838,Heat and Dust,Ruth Prawer Jhabvala,1987,Touchstone,,,
2839,OBJECT AFFECTION,Stephen McCauley,1988,Washington Square Press,,,
2840,"The Burning Eye (Warworld, Book 1)",Jerry Pournelle,1988,Baen,,,
2841,STAIRWAY TO FOREVE,Robert Adams,1988,Baen,,,
2842,TREASURE-CUSSLER,Clive Cussler,1988,Pocket,,,
2843,LAST TEMPTATION OF CHRIST (Movie Tie in),Nikos Kazantzakis,1988,Touchstone,,,
2844,While My Pretty One Sleeps,Mary Higgins Clark,1990,Pocket,,,
2845,"The SUSPECT NEXT DOOR NANCY DREW FILES #39 (The Nancy Drew Files Case, No 39)",Carolyn Keene,1989,Simon Pulse,,,
2846,The ABYSS,Orson Scott Card,1989,Pocket,,,
2847,A Question of Guilt,Frances Fyfield,1990,Pocket,,,
2848,PRIME TIME : PRIME TIME,Judy Collins,1989,Pocket,,,
2849,ALL MY FRIENDS ARE GOING TO BE STRANGERS (Touchstone Book),Larry McMurtry,1989,Simon &amp Schuster,,,
2850,The Temple of My Familiar,Alice Walker,1990,Pocket,,,
2851,Little Girl Lost,Drew Barrymore,1991,Pocket,,,
2852,LONG DARK TEA TIME OF THE SOUL,Douglas Adams,1990,Pocket,,,
2853,"FOREVER : A Novel of Good and Evil, Love and Hope",Judy Blume,1989,Pocket,,,
2854,ABC MURDERS,Agatha Christie,1989,Pocket,,,
2855,"MONSTERS AND MAGICIANS (Stairway to Forever, Bk 2)",Robert Adams,1989,Baen,,,
